Date/Time,Duration,Latitude,Longitude,State,Max Gust speed,
2002-02-16 07:00:00,0,-33.9200,150.9900,NSW,52,
2002-02-16 08:40:00,0,-33.2700,151.4200,NSW,53,
2002-02-20 06:20:00,0,-35.3500,145.7400,NSW,54,
2002-02-20 08:36:00,0,-32.0300,147.9700,NSW,49,
2002-03-26 04:50:00,0,-30.9600,148.2300,NSW,48,
2002-03-26 07:45:00,45,-33.7200,150.3000,NSW,48,
2002-03-26 08:16:00,0,-36.2520,150.2276,NSW,76,
2002-03-26 10:10:00,0,-34.0200,151.2000,NSW,49,
2002-06-16 05:00:00,30,-30.3100,153.1100,NSW,60,
2002-06-16 05:32:00,0,-28.8800,153.0500,NSW,52,
2002-09-06 09:50:00,0,-33.1320,149.6930,NSW,48,
2002-09-27 05:08:00,0,-29.7400,151.7400,NSW,48,
2002-09-27 07:16:00,0,-30.7700,148.7500,NSW,49,
2002-09-27 08:16:00,0,-31.2800,149.2800,NSW,50,
2002-09-27 08:28:00,0,-30.4600,149.6500,NSW,57,
2002-09-28 04:30:00,0,-29.6800,152.9700,NSW,48,
2002-10-13 02:00:00,0,-36.4900,148.5800,NSW,48,
2002-11-24 08:52:00,0,-36.2500,150.2300,NSW,59,
2002-11-26 05:20:00,0,-35.1200,148.6700,NSW,48,
2002-12-03 05:30:00,0,-28.9500,153.4700,NSW,50,
2002-12-04 01:19:00,0,-32.6300,151.5900,NSW,73,
2002-12-04 01:39:00,0,-32.6300,151.5900,NSW,57,
2002-12-04 01:47:00,0,-32.0500,150.8500,NSW,54,
2002-12-04 02:54:00,0,-31.8900,152.5500,NSW,53,
2002-12-04 07:09:00,0,-29.1800,153.4000,NSW,52,
2002-12-09 03:25:00,0,-31.4300,152.8700,NSW,56,
2002-12-10 17:07:00,0,-28.8600,153.5700,NSW,52,
2002-12-18 11:50:00,0,-33.1600,148.5900,NSW,48,
2002-12-20 08:28:00,0,-31.6800,145.4800,NSW,51,
2002-12-24 06:49:00,0,-28.8100,153.2600,NSW,58,
2003-01-21 08:30:00,0,-36.2520,150.2270,NSW,62,
2003-01-23 08:08:00,0,-29.6200,149.3800,NSW,48,
2003-02-08 04:55:00,0,-33.4300,149.5600,NSW,65,
2003-02-08 09:30:00,0,-35.1200,148.6700,NSW,55,
2003-02-15 07:00:00,0,-31.4300,147.2700,NSW,50,
2003-02-17 05:30:00,0,-33.4300,149.5600,NSW,48,
2003-03-10 07:00:00,0,-29.6800,152.9300,NSW,60,
2003-03-20 08:30:00,0,-31.8800,152.3600,NSW,48,
2003-03-30 06:30:00,0,-28.9900,153.2900,NSW,55,
2003-03-30 07:50:00,0,-29.1800,153.1400,NSW,54,
2003-07-11 12:00:00,0,-36.4900,148.2700,NSW,62,
2003-09-19 05:20:00,0,-34.7500,149.5900,NSW,64,
2003-09-22 01:00:00,30,-34.5980,146.4180,NSW,56,
2003-09-22 08:51:00,0,-29.0900,141.2000,NSW,51,
2003-09-22 08:54:00,0,-34.6200,146.4300,NSW,57,
2003-09-22 14:30:00,45,-34.5650,146.4510,NSW,50,
2003-09-23 12:00:00,0,-36.4900,148.2700,NSW,65,
2003-09-23 15:00:00,60,-34.8200,148.9140,NSW,48,
2003-10-02 03:25:00,0,-31.4990,150.6850,NSW,0,
2003-10-02 03:38:00,0,-31.0910,150.9320,NSW,56,
2003-10-02 04:00:00,40,-30.9820,151.5850,NSW,50,
2003-10-02 04:13:00,0,-32.0490,152.2680,NSW,60,
2003-10-02 06:30:00,0,-30.0490,153.1350,NSW,55,
2003-10-02 06:33:00,0,-30.1150,153.2010,NSW,0,
2003-10-02 07:19:00,0,-28.8150,153.2850,NSW,51,
2003-10-02 07:30:00,0,-28.8100,153.2850,NSW,0,
2003-10-02 08:00:00,0,-28.6490,153.6180,NSW,0,
2003-10-02 08:00:00,0,-29.6800,152.9300,NSW,0,
2003-10-03 03:40:00,10,-30.9990,151.1680,NSW,48,
2003-10-20 07:30:00,0,-35.3040,148.2230,NSW,0,
2003-10-20 08:30:00,0,-35.1150,147.3680,NSW,49,
2003-10-25 03:00:00,35,-31.9990,149.4850,NSW,38,
2003-10-25 05:30:00,60,-33.6070,151.1430,NSW,48,
2003-11-21 05:12:00,5,-30.3320,149.7680,NSW,49,
2003-12-04 04:09:00,0,-33.8150,150.7680,NSW,51,
2003-12-14 02:04:00,0,-28.8100,153.2600,NSW,57,
2003-12-21 06:13:00,0,-34.1930,142.1570,NSW,53,
2003-12-26 06:15:00,5,-29.5830,149.2330,NSW,54,
2003-12-27 07:45:00,20,-29.9320,151.0350,NSW,48,
