Date/Time,Latitude,Longitude,Nearest town,State,Max speed (km/h),Fujita scale,Damage total,
2013-03-21 00:00:00,-36.7489,145.9997,SWANPOOL,VIC,119,1,,
2013-03-21 00:00:00,-37.0561,146.0867,MANSFIELD,VIC,119,1,,
2013-03-21 00:00:00,-36.5524,145.9988,BENALLA AERODROME,VIC,63,0,,
2013-03-21 04:00:00,-35.7323,143.9189,KERANG,VIC,63,0,,
2010-11-29 00:00:00,-22.6600,114.1800,Bullara Station,WA,63,0,,
2011-01-05 00:00:00,-33.8333,116.3906,BOYUP BROOK,WA,63,0,,
2011-05-20 00:00:00,-32.0803,115.9153,CANNING VALE,WA,63,0,,
2011-05-29 13:00:00,-33.3403,115.6419,BUNBURY,WA,63,0,,
2011-06-30 03:10:00,-32.5294,115.7233,MANDURAH,WA,63,0,,
2011-07-22 07:26:00,-32.3744,115.9964,SERPENTINE,WA,63,0,,
2011-07-27 14:30:00,-32.8289,115.8808,WAROONA,WA,63,0,,
2013-02-15 16:20:00,-32.4049,134.5335,WIRRULLA,SA,63,0,,
2013-07-04 18:00:00,-34.6431,135.6974,BIG SWAMP,SA,63,0,,
2013-08-03 12:40:00,-36.8322,139.8538,KINGSTON,SA,63,0,,
2013-08-21 18:00:00,-34.7251,138.5821,WATERLOO CORNER,SA,63,0,,
2013-11-18 03:45:00,-33.7026,151.1123,HORNSBY,NSW,119,1,,
2013-11-23 04:30:00,-30.1317,151.4345,TENTERDEN,NSW,119,1,,
2013-11-23 05:00:00,-30.1817,151.8011,BALD BLAIR,NSW,63,0,,
2013-11-23 04:30:00,-30.0984,151.2511,TINGHA,NSW,63,0,,
2013-11-23 04:30:00,-30.0151,151.6511,BEN LOMOND,NSW,119,1,,
2013-12-26 05:00:00,-36.0984,149.1679,CHAKOLA,NSW,63,0,,
2012-01-05 00:00:00,-33.1367,116.8414,MOREE,WA,63,0,,
2013-07-07 08:00:00,-36.8100,144.6600,Knowsley,VIC,63,0,,
2013-07-15 07:15:00,-32.3567,149.6679,YARRAWONGA,VIC,63,0,,
2013-07-15 07:15:00,-32.3567,149.6679,YARRAWONGA,VIC,63,0,,
2013-11-23 02:00:00,-38.0833,144.2666,BATESFORD,VIC,63,0,,
2013-10-24 01:00:00,-37.9215,145.1660,MULGRAVE,VIC,63,0,,
2013-12-05 03:25:00,-38.0503,145.1651,BANGHOLME,VIC,63,0,,
2012-06-07 04:00:00,-31.8878,115.8742,DIANELLA,WA,63,0,,
2012-11-03 08:05:00,-33.6614,115.3511,BUSSELTON,WA,63,0,,
2013-01-15 00:00:00,-33.5558,115.5608,CAPEL,WA,63,0,,
2013-09-23 00:00:00,-31.9819,115.8633,SOUTH PERTH,WA,63,0,,
2013-09-23 00:00:00,-31.9819,115.8633,SOUTH PERTH,WA,63,0,,
2011-12-11 00:00:00,-18.1394,125.7750,FOSSIL DOWNS,WA,63,0,,
2014-11-22 06:00:00,-34.1721,142.2486,GOL GOL NORTH CREEK,NSW,63,0,,
2014-11-05 06:35:00,-30.9484,150.2511,GUNNEDAH AERODROME,NSW,63,0,,
2014-12-04 09:05:00,-34.6556,150.2996,BUNDANOON,NSW,63,0,,
2014-07-14 00:00:00,0.0000,0.0000,,WA,63,0,,
2014-09-07 00:00:00,-31.9800,115.9936,FORRESTFIELD,WA,63,0,,
2014-11-22 00:00:00,-34.1828,142.2154,GOL GOL BEND,VIC,63,0,,
2015-02-23 04:00:00,-36.3846,145.4045,SHEPPARTON,VIC,63,0,,
2015-02-28 08:00:00,-37.3415,144.1440,DAYLESFORD,VIC,63,0,,
2012-11-09 23:00:00,-42.8900,147.3000,Hobart,TAS,63,0,,
2012-11-09 23:05:00,-42.8100,147.4600,Cambridge,TAS,63,0,,
2015-02-13 06:35:00,-37.4264,143.8863,CRESWICK,VIC,63,0,,
2015-08-24 06:00:00,-32.2484,148.6012,DUBBO,NSW,63,0,,
2015-10-22 00:00:00,-31.5651,149.9845,BUNDELLA,NSW,63,0,,
2015-10-27 00:00:00,-29.6817,148.8012,MERRYWINEBONE,NSW,63,0,,
2015-10-31 06:20:00,-36.1401,144.5581,Echuca,VIC,63,0,,
2015-11-01 03:30:00,-36.0527,145.2059,NATHALIA,VIC,63,0,,
2015-11-05 02:30:00,-37.6023,144.9428,CRAIGIEBURN,VIC,63,0,,
2015-08-29 05:00:00,-33.3403,115.6419,BUNBURY,WA,63,0,,
2015-09-10 03:00:00,-34.2967,117.5542,CRANBROOK,WA,63,0,,
2015-12-03 19:30:00,-30.7492,121.4656,KALGOORLIE,WA,63,0,0,
2015-05-01 00:00:00,-20.7306,116.8447,KARRATHA,WA,63,0,,
2015-12-04 07:30:00,-30.7492,121.4656,KALGOORLIE,WA,63,0,0,
2013-04-23 06:00:00,-23.5415,147.9697,Emerald,QLD,63,0,,
2013-04-23 07:00:00,-24.1800,149.8100,Baralaba,QLD,63,0,,
2013-11-15 21:15:00,-27.3400,153.3600,Moreton Island,QLD,63,0,,
2015-07-11 05:15:00,-35.8318,146.8013,BURRUMBUTTOCK,NSW,63,0,,
2015-12-15 23:30:00,-34.0151,151.2012,Kurnell,NSW,180,2,,
2016-01-22 05:00:00,-32.4817,150.9011,JERRYS PLAINS,NSW,63,0,,
2016-01-30 12:30:00,-35.4294,149.5011,FORBES CREEK,NSW,180,2,,
2016-01-30 07:20:00,-29.4187,153.2849,PALMERS ISLAND,NSW,119,1,,
2016-08-22 01:55:00,-37.7043,144.5713,MELTON,VIC,63,0,,
2016-08-22 02:05:00,-37.7841,144.7150,TRUGANINA,VIC,63,0,,
2016-08-22 03:10:00,-36.5460,145.9833,BENALLA,VIC,63,0,,
2016-10-21 04:35:00,-33.9126,151.1180,CANTERBURY,NSW,63,0,,
2016-10-21 09:00:00,-33.1373,148.1747,PARKES,NSW,63,0,,
2014-12-17 09:00:00,-25.0000,152.0800,Bungadoo,QLD,63,0,,
2014-12-06 05:00:00,-18.4400,145.9300,Abergowrie,QLD,180,2,,
2013-01-26 02:50:00,-24.8100,152.4600,Bargara,QLD,180,2,,
2016-06-19 07:45:00,-26.6900,153.1100,Mooloolaba,QLD,180,2,,
2016-11-11 05:17:00,-31.9652,141.4513,BROKEN HILL,NSW,180,2,,
2017-04-08 16:30:00,-38.0800,145.4801,PAKENHAM,VIC,63,0,,
2017-10-26 05:34:00,-32.2123,152.3193,Coolongalook,NSW,63,0,,
2017-11-05 07:30:00,-29.1500,153.2833,New Italy,NSW,63,0,,
2017-11-16 07:30:00,-34.6810,146.2710,Euroley,NSW,63,0,,
2017-11-16 08:15:00,-31.8151,149.1179,MENDOORAN,NSW,63,0,,
2019-03-05 05:20:00,-36.0100,146.0200,Yarrawonga,NSW,63,0,,
2018-12-19 08:30:00,-31.5500,150.6800,Tamworth,NSW,63,0,,
2019-12-15 09:00:00,-34.0651,151.0846,GRAYS POINT,NSW,63,0,,
2019-12-21 08:30:00,-31.1095,150.9147,SOUTH TAMWORTH,NSW,63,0,,
2018-12-21 08:30:00,-31.1095,150.9147,SOUTH TAMWORTH,NSW,63,0,,
2017-10-02 08:00:00,-25.4000,152.9000,River Heads,QLD,119,1,,
2017-10-02 04:00:00,-24.9000,152.3500,Avenell Heights,QLD,180,2,,
2011-01-30 13:00:00,-21.3800,149.3100,Campwin Beach,QLD,119,1,,
2012-03-18 17:30:00,-18.6300,146.2600,Braemeadows,QLD,63,0,,
2012-03-19 17:00:00,-19.2400,146.7700,Townsville,QLD,180,2,,
2013-01-23 13:30:00,-19.6900,147.4700,Inkerman,QLD,63,0,,
2013-01-23 18:15:00,-21.2900,149.3000,Hay Point,QLD,63,0,,
2013-01-26 05:00:00,-24.7800,152.4200,Burnett Heads,QLD,180,2,,
2013-01-26 06:00:00,-24.7700,152.4200,Burnett Heads,QLD,180,2,,
2013-01-26 05:00:00,-24.9800,152.4500,Coonaar,QLD,63,0,,
2013-01-26 06:10:00,-25.0000,152.0800,Bungadoo,QLD,63,0,,
2013-01-26 13:50:00,-25.2300,152.5900,Burrum Heads,QLD,119,1,,
2013-01-26 17:40:00,-25.1800,152.6100,Burrum Heads,QLD,252,3,,
2013-01-26 18:30:00,-25.2700,152.7600,Dundowran Beach,QLD,119,1,,
2013-06-12 09:30:00,-28.0900,151.7800,Pratten,QLD,180,2,,
2013-11-18 17:00:00,-25.2800,152.9000,Urangan,QLD,119,1,,
